TF Locus ID,Protein Name,Sub Family,Gene Name / Synonym
At1g13960,AtWRKY4,,WRKY4
At1g18860,AtWRKY61,,WRKY61, AtWRKY61
At1g29280,AtWRKY65,,AtWRKY65, WRKY65
At1g29860,AtWRKY71,,AtWRKY71, WRKY71
At1g30650,AtWRKY14,,AR411, AtWRKY14, WRKY14
At1g55600,AtWRKY10,,WRKY10, MINI3, ATWRKY10
At1g62300,AtWRKY6,,WRKY6, ATWRKY6
At1g64000,AtWRKY56,,WRKY56, AtWRKY56
At1g66550,AtWRKY67,,WRKY67, AtWRKY67
At1g66560,AtWRKY64,,AtWRKY64, WRKY64
At1g66600,AtWRKY63,,WRKY63, AtWRKY63
At1g68150,AtWRKY9,,WRKY9, AtWRKY9
At1g69310,AtWRKY57,,AtWRKY57, WRKY57
At1g69810,AtWRKY36,,WRKY36, AtWRKY36
At1g80590,AtWRKY66,,AtWRKY66, WRKY66
At1g80840,AtWRKY40,,WRKY40, ATWRKY40
At2g03340,AtWRKY3,,WRKY3
At2g04880,AtWRKY1,,ZAP1, WRKY1, ATWRKY1
At2g21900,AtWRKY59,,WRKY59, AtWRKY59
At2g23320,AtWRKY15,,WRKY15
At2g24570,AtWRKY17,,WRKY17, AtWRKY17
At2g25000,AtWRKY60,,ATWRKY60, WRKY60
At2g30250,AtWRKY25,,WRKY25, AtWRKY25
At2g30590,AtWRKY21,,WRKY21
At2g34830,AtWRKY35,,MEE24, WRKY35, AtWRKY35
At2g37260,AtWRKY44,,DSL1, TTG2, ATWRKY44, WRKY44
At2g38470,AtWRKY33,,WRKY33, ATWRKY33
At2g40740,AtWRKY55,,AtWRKY55, WRKY55
At2g40750,AtWRKY54,,WRKY54, AtWRKY54
At2g44745,AtWRKY12,,
At2g46130,AtWRKY43,,AtWRKY43, WRKY43
At2g46400,AtWRKY46,,AtWRKY46, WRKY46
At2g47260,AtWRKY23,,ATWRKY23, WRKY23
At3g01080,AtWRKY58,,AtWRKY58, WRKY58
At3g01970,AtWRKY45,,AtWRKY45, WRKY45
At3g04670,AtWRKY39,,WRKY39, AtWRKY39
At3g56400,AtWRKY70,,ATWRKY70, WRKY70
At3g58710,AtWRKY69,,AtWRKY69, WRKY69
At3g62340,AtWRKY68,,WRKY68, AtWRKY68
At4g01250,AtWRKY22,,AtWRKY22, WRKY22
At4g01720,AtWRKY47,,WRKY47, AtWRKY47
At4g04450,AtWRKY42,,WRKY42, AtWRKY42
At4g11070,AtWRKY41,,WRKY41, AtWRKY41
At4g12020,AtWRKY19,,ATWRKY19, WRKY19, MAPKKK11
At4g18170,AtWRKY28,,AtWRKY28, WRKY28
At4g22070,AtWRKY31,,AtWRKY31, WRKY31
At4g23550,AtWRKY29,,WRKY29, ATWRKY29
At4g23810,AtWRKY53,,WRKY53, ATWRKY53
At4g24240,AtWRKY7,,ATWRKY7, WRKY7
At4g26440,AtWRKY34,,MSP3, WRKY34, ATWRKY34
At4g26640,AtWRKY20,,WRKY20, AtWRKY20
At4g30930,AtWRKY32,,NFD1
At4g31550,AtWRKY11,,WRKY11, AtWRKY11
At4g31800,AtWRKY18,,WRKY18, ATWRKY18
At4g39410,AtWRKY13,,AtWRKY13, WRKY13
At5g01900,AtWRKY62,,WRKY62, AtWRKY62
At5g07100,AtWRKY26,,WRKY26
At5g13080,AtWRKY75,,AtWRKY75, WRKY75
At5g15130,AtWRKY72,,AtWRKY72, WRKY72
At5g22570,AtWRKY38,,WRKY38, AtWRKY38
At5g24110,AtWRKY30,,AtWRKY30, WRKY30
At5g26170,AtWRKY50,,ATWRKY50, WRKY50
At5g28650,AtWRKY74,,WRKY74, AtWRKY74
At5g41570,AtWRKY24,,AtWRKY24, WRKY24
At5g43290,AtWRKY49,,WRKY49, AtWRKY49
At5g45050,AtWRKY16,,WRKY16, TTR1, ATWRKY16
At5g45270,AtWRKY52,,RRS1, SLH1
At5g46350,AtWRKY8,,WRKY8, AtWRKY8
At5g49520,AtWRKY48,,WRKY48, AtWRKY48
At5g52830,AtWRKY27,,AtWRKY27, WRKY27
At5g56270,AtWRKY2,,WRKY2, AtWRKY2
At5g64810,AtWRKY51,,WRKY51, atwrky51
